team,P(1st),P(2nd),P(3rd),P(4th),P(Adv)
Argentina,0.8758,0.1164,0.0073,0.0005,0.9992
Germany,0.6547,0.2311,0.1123,0.0019,0.9972
France,0.719,0.2607,0.0192,0.0011,0.997
England,0.9248,0.0606,0.0121,0.0025,0.997
Colombia,0.715,0.2119,0.0653,0.0078,0.9877
Mexico,0.5979,0.3089,0.0891,0.0041,0.987
Norway,0.2666,0.5483,0.1826,0.0025,0.9807
Australia,0.5178,0.3613,0.1079,0.013,0.9776
Ivory Coast,0.3113,0.4983,0.1847,0.0057,0.9721
Sweden,0.2847,0.2568,0.4438,0.0147,0.9665
United States,0.4256,0.3709,0.185,0.0185,0.9658
South Korea,0.3665,0.5031,0.1133,0.0171,0.9651
Spain,0.6859,0.2084,0.0821,0.0236,0.9566
Brazil,0.486,0.3266,0.1518,0.0356,0.9401
Austria,0.1151,0.6512,0.2245,0.0092,0.9395
Netherlands,0.3695,0.3672,0.2126,0.0507,0.9145
Japan,0.3386,0.3622,0.2431,0.0561,0.9021
Morocco,0.3118,0.3917,0.2303,0.0662,0.8887
Switzerland,0.4226,0.2859,0.199,0.0925,0.8374
Scotland,0.1947,0.2634,0.5059,0.036,0.8322
Canada,0.3697,0.2983,0.2205,0.1115,0.8163
Belgium,0.3919,0.2732,0.2019,0.133,0.8138
Portugal,0.2209,0.4476,0.2382,0.0933,0.8035
Ecuador,0.0317,0.2556,0.6226,0.0901,0.7653
Uruguay,0.2073,0.375,0.2801,0.1376,0.7436
Croatia,0.0292,0.5572,0.2444,0.1692,0.7407
Egypt,0.222,0.2821,0.2551,0.2408,0.6881
Iran,0.2717,0.2532,0.2801,0.195,0.6705
Ghana,0.0386,0.2923,0.5514,0.1177,0.6546
Bosnia and Herzegovina,0.1326,0.2337,0.3196,0.3141,0.5769
Senegal,0.0122,0.1792,0.6183,0.1903,0.5604
Cape Verde,0.0573,0.2424,0.3084,0.3919,0.4946
Turkey,0.0377,0.1853,0.4256,0.3514,0.4871
Algeria,0.0076,0.2093,0.484,0.2991,0.4798
DR Congo,0.0523,0.2047,0.3937,0.3493,0.4718
Czech Republic,0.029,0.1233,0.5303,0.3174,0.4709
New Zealand,0.1144,0.1915,0.2629,0.4312,0.4476
Saudi Arabia,0.0495,0.1742,0.3294,0.4469,0.4267
Qatar,0.0751,0.1821,0.2609,0.4819,0.4221
Uzbekistan,0.0118,0.1358,0.3028,0.5496,0.3107
Paraguay,0.0189,0.0825,0.2815,0.6171,0.2839
South Africa,0.0066,0.0647,0.2673,0.6614,0.2123
Panama,0.0074,0.0899,0.1921,0.7106,0.2065
Jordan,0.0015,0.0231,0.2842,0.6912,0.1343
Haiti,0.0075,0.0183,0.112,0.8622,0.0975
Iraq,0.0022,0.0118,0.1799,0.8061,0.0874
Tunisia,0.0072,0.0138,0.1005,0.8785,0.0742
Curaçao,0.0023,0.015,0.0804,0.9023,0.0549
